system;indexSystem;indexItem;timestamp;time;item
P;P;0;1000;16.3919527077;(0, 0, 1, 1, 0, 1)
P;P;1;1000;9.53729305286;(1, 1, 0, 1, 1, 1)
P;P;2;1000;5.03756572462;(1, 0, 0, 1, 0, 1)
P;P;3;1000;7.24195058507;(1, 1, 0, 1, 1, 0)
P;P;4;1000;7.98022674908;(0, 0, 1, 1, 0, 1)
P;P;5;1000;7.11590579039;(1, 0, 0, 1, 0, 1)
P;P;0;1000;2.88652889551;(0, 0, 1, 1, 0, 0)
P;P;1;1000;3.70513150056;(1, 0, 0, 1, 1, 1)
P;P;2;1000;3.39293796473;(1, 0, 1, 0, 1, 0)
P;P;3;1000;2.82974319405;(1, 1, 0, 1, 0, 1)
P;P;4;1000;4.93191323207;(0, 0, 1, 1, 1, 0)
P;P;5;1000;3.77944423478;(1, 1, 0, 0, 1, 0)
P;P;6;1000;3.02392420612;(0, 0, 0, 1, 0, 1)
P;P;7;1000;2.74741125106;(0, 0, 1, 1, 1, 0)
P;P;8;1000;3.61011157383;(1, 1, 0, 0, 0, 0)
P;P;9;1000;6.42414430284;(0, 0, 1, 1, 1, 1)
P;P;10;1000;8.51037668822;(1, 0, 0, 1, 1, 0)
P;P;11;1000;3.18912690456;(1, 1, 0, 0, 0, 1)
P;P;12;1000;3.18505758762;(1, 0, 1, 1, 0, 1)
P;P;13;1000;10.8536599361;(1, 0, 0, 1, 1, 0)
P;P;14;1000;1.78159995111;(0, 0, 1, 1, 1, 1)
P;P;0;1000;4.58687686106;(0, 1, 1, 1, 0, 1)
P;P;1;1000;6.18844814082;(1, 0, 0, 1, 1, 1)
P;P;2;1000;5.4956360856;(0, 0, 1, 1, 1, 0)
P;P;3;1000;4.28975234687;(0, 1, 1, 0, 1, 0)
P;P;4;1000;4.51235886496;(0, 1, 1, 1, 0, 1)
P;P;5;1000;7.97690523852;(0, 1, 1, 0, 0, 1)
P;P;6;1000;1.98502381271;(0, 1, 1, 0, 1, 0)
P;P;7;1000;4.35366763342;(0, 0, 1, 1, 1, 0)
P;P;8;1000;6.48639137004;(0, 1, 1, 1, 0, 1)
P;P;9;1000;6.61902647085;(0, 1, 1, 0, 0, 1)
P;P;10;1000;1.97196962311;(1, 0, 0, 1, 1, 1)
P;P;11;1000;7.5160699066;(0, 1, 1, 1, 0, 1)
P;P;12;1000;1.24996606181;(0, 0, 0, 0, 0, 0)
P;P;13;1000;1.93321151351;(0, 1, 1, 0, 0, 1)
P;P;14;1000;4.70000648441;(0, 1, 1, 1, 0, 1)
P;P;15;1000;3.01094092516;(0, 0, 1, 1, 1, 0)
P;P;16;1000;3.77943443819;(0, 0, 0, 1, 1, 1)
P;P;17;1000;3.14886291911;(0, 1, 1, 1, 0, 1)
P;P;18;1000;5.36478536371;(0, 0, 1, 1, 1, 0)
P;P;19;1000;8.70539787451;(0, 1, 1, 1, 1, 1)
P;P;20;1000;5.38619417868;(1, 1, 1, 0, 1, 1)
P;P;21;1000;2.66569509373;(0, 0, 1, 1, 1, 0)
P;P;22;1000;1.60150410314;(0, 0, 0, 1, 1, 1)
P;P;23;1000;5.32118027452;(1, 1, 1, 0, 1, 1)
P;P;24;1000;6.49676549249;(0, 1, 1, 1, 0, 1)
P;P;25;1000;1.69033071889;(0, 1, 1, 1, 1, 1)
P;P;26;1000;2.2947448758;(0, 1, 0, 1, 1, 1)
P;P;27;1000;5.86966429885;(0, 1, 1, 1, 0, 1)
P;P;28;1000;3.7700012549;(1, 0, 1, 1, 0, 1)
P;P;29;1000;9.97778599862;(0, 1, 0, 0, 0, 1)
P;P;30;1000;6.39031294508;(1, 1, 1, 0, 1, 1)
P;P;31;1000;5.54902983435;(0, 0, 1, 0, 1, 0)
P;P;32;1000;7.79348648047;(1, 1, 1, 1, 0, 1)
P;P;33;1000;10.1053352696;(0, 1, 1, 1, 0, 1)
P;P;34;1000;7.14024191979;(0, 1, 0, 0, 0, 1)
P;P;35;1000;5.87525302027;(1, 1, 1, 0, 1, 1)
P;P;36;1000;3.55941375339;(1, 0, 1, 1, 0, 1)
P;P;37;1000;21.2108263517;(0, 0, 1, 0, 1, 0)
P;P;38;1000;8.20606707492;(1, 1, 1, 0, 1, 1)
P;P;39;1000;4.1297105854;(0, 1, 0, 0, 0, 1)
P;P;40;1000;7.86516113292;(0, 0, 1, 0, 1, 0)
P;P;41;1000;1.68765018522;(1, 0, 1, 1, 0, 1)
P;P;42;1000;2.42375757078;(1, 1, 1, 0, 1, 1)
P;P;0;1000;4.12886947816;(0, 0, 1, 1, 1, 0)
