 The Alemanni cross the frozen Rhine in large numbers invading the Roman Empire.,
 Roman consuls begin their year in office.,
 Pope Leo X excommunicates Martin Luther in the papal bull Decet Romanum Pontificem.,
 Julius Caesar defeats Titus Labienus in the Battle of Ruspina.,
 Edward the Confessor dies childless sparking a succession crisis that will eventually lead to the Norman conquest of England.,
 Harold Godwinson (or Harold II) is crowned King of England.,
 Jin Huidi Chinese Emperor of the Jin dynasty is poisoned and succeeded by his son Jin Huaidi.,
 Byzantine Emperor Zeno is forced to flee his capital at Constantinople and his general Basiliscus gains control of the empire.,
 Julius Caesar crosses the Rubicon signaling the start of civil war.,
 Nika riots in Constantinople: A quarrel between supporters of different chariot teams—the Blues and the Greens—in the Hippodrome escalates into violence.,
 Gustav I of Sweden is crowned king.,
 Nika riots in Constantinople.,
 Mercurius becomes Pope John II the first pope to adopt a new name upon elevation to the papacy.,
 The Julian calendar takes effect as the civil calendar of the Roman Empire establishing January 1 as the new date of the new year.,
 By the Coonan Cross Oath the Eastern Church in India cuts itself off from colonial Portuguese tutelage.,
 Battle of Reading: Æthelred of Wessex fights and is defeated by a Danish invasion army.,
 Battle of Nancy: Charles the Bold is killed and Burgundy becomes part of France.,
 Reconquista: Alfonso the Battler conquers Zaragoza.,
 Siyaj K'ak' conquers Waka,
 Twelfth Council of Toledo: King Erwig of the Visigoths initiates a council in which he implements diverse measures against the Jews in Spain.,
 The Western Han dynasty ends when Wang Mang claims that the divine Mandate of Heaven called for the end of the dynasty and the beginning of his own the Xin dynasty.,
 Theodora is crowned Empress of the Byzantine Empire.,
 Bayinnaung who would go on to assemble the largest empire in the history of Southeast Asia is crowned King of Burma.,
 Odo Count of Paris becomes King of the Franks.,
 Reconquista: the Emirate of Granada the last Moorish stronghold in Spain surrenders.,
 The Roman Senate posthumously deifies Julius Caesar,
 Benning Wentworth issues the first of the New Hampshire Grants leading to the establishment of Vermont.,
 Anne of Brittany announces that all those who would ally with the King of France will be considered guilty of the crime of lèse-majesté.,
 Duke Ludovico Sforza conquers Milan.,
 Philip of Swabia becomes King of the Romans.,
 Alfred the Great leads a West Saxon army to repel an invasion by Danelaw Vikings.,
 Jin,Song Wars: Invading Jurchen soldiers from the Jin dynasty besiege and sack Bianjing (Kaifeng) the capital of the Song dynasty of China and abduct Emperor Qinzong and others ending the Northern Song dynasty.
 Lucius Calpurnius Piso Licinianus is appointed by Galba as deputy Roman Emperor.,
 Vladislav II becomes King of Bohemia.,
 The city of Belém is founded in Pará Brazil by Francisco Caldeira Castelo Branco.,
 Sicut Dudum forbidding the enslavement of the Guanche natives in Canary Islands by the Spanish is promulgated by Pope Eugene IV.,
 American Revolutionary War: American forces under the command of George Washington repulsed a British attack at the Battle of the Assunpink Creek near Trenton New Jersey.,
 The Roman legions in Germania Superior refuse to swear loyalty to Galba. They rebel and proclaim Vitellius as emperor.,
