system;indexSystem;indexItem;nMax;time;item
P;P;7;1000;11.6928666362;miniBinaries
P;P;7;1000;12.6865156468;miniBinaries
P;P;7;1000;10.8701975133;miniBinaries
P;P;7;1000;9.6183029227;miniBinaries
P;P;7;1000;8.29865184925;miniBinaries
P;P;7;1000;12.8846474837;miniBinaries
P;P;7;1000;12.316392541;miniBinaries
P;P;7;1000;8.55014991115;miniBinaries
P;P;7;1000;13.0758013494;miniBinaries
P;P;7;1000;7.04215146181;miniBinaries
P;P;7;1000;8.7564483722;miniBinaries
P;P;7;1000;9.32408566325;miniBinaries
P;P;7;1000;16.969561528;miniBinaries
P;P;7;1000;6.76266127636;miniBinaries
P;P;7;1000;6.98917663392;miniBinaries
P;P;1;1000;6.35611024989;miniBinaries
P;P;7;1000;11.5200132674;miniBinaries
P;P;7;1000;9.04992948788;miniBinaries
P;P;7;1000;7.18246522327;miniBinaries
P;P;7;1000;6.86404245562;miniBinaries
P;P;7;1000;6.61806547201;miniBinaries
P;P;7;1000;8.88366036062;miniBinaries
P;P;7;1000;3.08202451667;miniBinaries
P;P;7;1000;8.39911868009;miniBinaries
P;P;7;1000;8.79845288517;miniBinaries
P;P;7;1000;8.03550190964;miniBinaries
P;P;7;1000;9.84966852537;miniBinaries
P;P;7;1000;6.18555721372;miniBinaries
P;P;7;1000;6.60751501094;miniBinaries
P;P;7;1000;6.70081120431;miniBinaries
P;P;7;1000;13.2832086912;miniBinaries
P;P;7;1000;5.95437774625;miniBinaries
P;P;7;1000;5.9968916819;miniBinaries
P;P;7;1000;6.33910570194;miniBinaries
P;P;7;1000;6.51705329765;miniBinaries
P;P;7;1000;5.97189731494;miniBinaries
P;P;7;1000;8.09179591557;miniBinaries
P;P;7;1000;5.72426750662;miniBinaries
P;P;7;1000;8.33520246053;miniBinaries
P;P;7;1000;6.85724595459;miniBinaries
P;P;7;1000;8.05314136993;miniBinaries
P;P;7;1000;5.82422304876;miniBinaries
P;P;7;1000;9.86426077964;miniBinaries
P;P;7;1000;6.84512244101;miniBinaries
P;P;7;1000;7.96979291411;miniBinaries
P;P;7;1000;6.40442703239;miniBinaries
P;P;7;1000;5.30341019301;miniBinaries
