answer;solution;correct;image;lociId;lociName;blocIndex;lociIndex;imageIndex;feat;nbRow;nbCol;memoTime;restiTime;sepSign;timestamp
55;55;True;P;4e5bda30-cb67-11e4-a82f-08002700d09f;devant metro 5;0;1;1;d;20;40;300;900;|;1426670501.0
66;66;True;A;4e5bda30-cb67-11e4-a82f-08002700d09f;devant metro 5;0;1;2;d;20;40;300;900;|;1426670501.0
40;40;True;Q;4e5bda30-cb67-11e4-a82f-08002700d09f;devant metro 5;0;1;3;d;20;40;300;900;|;1426670501.0
57;57;True;P;4e3a9691-cb67-11e4-b3f7-08002700d09f;portillon;1;2;4;d;20;40;300;900;|;1426670501.0
43;43;True;A;4e3a9691-cb67-11e4-b3f7-08002700d09f;portillon;1;2;5;d;20;40;300;900;|;1426670501.0
52;52;True;Q;4e3a9691-cb67-11e4-b3f7-08002700d09f;portillon;1;2;6;d;20;40;300;900;|;1426670501.0
92;92;True;P;4e5c9d80-cb67-11e4-889d-08002700d09f;guichet;2;3;7;d;20;40;300;900;|;1426670501.0
14;14;True;A;4e5c9d80-cb67-11e4-889d-08002700d09f;guichet;2;3;8;d;20;40;300;900;|;1426670501.0
15;15;True;Q;4e5c9d80-cb67-11e4-889d-08002700d09f;guichet;2;3;9;d;20;40;300;900;|;1426670501.0
13;13;True;P;4e5d39c0-cb67-11e4-b60d-08002700d09f;velos;3;4;10;d;20;40;300;900;|;1426670501.0
89;89;True;A;4e5d39c0-cb67-11e4-b60d-08002700d09f;velos;3;4;11;d;20;40;300;900;|;1426670501.0
84;84;True;Q;4e5d39c0-cb67-11e4-b60d-08002700d09f;velos;3;4;12;d;20;40;300;900;|;1426670501.0
80;80;True;P;4e60951e-cb67-11e4-8c02-08002700d09f;statue sur le pont (merge prague);4;5;13;d;20;40;300;900;|;1426670501.0
13;13;True;A;4e60951e-cb67-11e4-8c02-08002700d09f;statue sur le pont (merge prague);4;5;14;d;20;40;300;900;|;1426670501.0
46;46;True;Q;4e60951e-cb67-11e4-8c02-08002700d09f;statue sur le pont (merge prague);4;5;15;d;20;40;300;900;|;1426670501.0
11;11;True;P;4e615870-cb67-11e4-a954-08002700d09f;passage piéton;5;6;16;d;20;40;300;900;|;1426670501.0
64;64;True;A;4e615870-cb67-11e4-a954-08002700d09f;passage piéton;5;6;17;d;20;40;300;900;|;1426670501.0
87;87;True;Q;4e615870-cb67-11e4-a954-08002700d09f;passage piéton;5;6;18;d;20;40;300;900;|;1426670501.0
13;13;True;A;4e615870-cb67-11e4-a954-08002700d09f;passage piéton;5;6;19;d;20;40;300;900;|;1426670501.0
36;36;True;Q;4e615870-cb67-11e4-a954-08002700d09f;passage piéton;5;6;20;d;20;40;300;900;|;1426670501.0
23;23;True;P;4e61cda1-cb67-11e4-b4cf-08002700d09f;ilôt piéton;0;7;21;d;20;40;300;900;|;1426670501.0
82;82;True;A;4e61cda1-cb67-11e4-b4cf-08002700d09f;ilôt piéton;0;7;22;d;20;40;300;900;|;1426670501.0
87;87;True;Q;4e61cda1-cb67-11e4-b4cf-08002700d09f;ilôt piéton;0;7;23;d;20;40;300;900;|;1426670501.0
88;88;True;P;4e6269de-cb67-11e4-8410-08002700d09f;cabane SDF;1;8;24;d;20;40;300;900;|;1426670501.0
49;49;True;A;4e6269de-cb67-11e4-8410-08002700d09f;cabane SDF;1;8;25;d;20;40;300;900;|;1426670501.0
65;65;True;Q;4e6269de-cb67-11e4-8410-08002700d09f;cabane SDF;1;8;26;d;20;40;300;900;|;1426670501.0
20;20;True;P;4e632d30-cb67-11e4-ab6d-08002700d09f;grande porte en fer;2;9;27;d;20;40;300;900;|;1426670501.0
38;38;True;A;4e632d30-cb67-11e4-ab6d-08002700d09f;grande porte en fer;2;9;28;d;20;40;300;900;|;1426670501.0
82;82;True;Q;4e632d30-cb67-11e4-ab6d-08002700d09f;grande porte en fer;2;9;29;d;20;40;300;900;|;1426670501.0
13;13;True;P;4e63c970-cb67-11e4-aa1c-08002700d09f;abri bus 89;3;10;30;d;20;40;300;900;|;1426670501.0
98;98;True;A;4e63c970-cb67-11e4-aa1c-08002700d09f;abri bus 89;3;10;31;d;20;40;300;900;|;1426670501.0
